Creation Date (Calendar),MMS Id,Title,Author,Author (contributor),ISBN,ISBN13,Reporting Code - 1st,Acquisition Method,Acquisition Method Description,Format,PO Line Type Name,Source Type,Fund Type,Parent Fund Name,Fund Code,Fund Name,Campus Name,Library Name,Location Code,Location Name,Permanent Call Number,Receiving Status,Receiving Date (Latest in POL),Status,Status (Active)
07/12/2023,9952348851501401,Litigation with the federal government /,"Sisk, Gregory C. author",,1636591388; 9781636591384; 1634592980; 9781634592987,9781636591384,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF9065 .S32 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348851601401,Local government law /,"Reynolds, Osborne M., Jr., 1940-2020, author.","De Barbieri, Edward W., author.",9781685612603; 1685612601; 164020802X; 9781640208025,9781685612603,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF5300 .R49 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348851701401,Land use planning and development regulation law /,"Juergensmeyer, Julian Conrad, author.","Rowberry, Ryan, author.; Salkin, Patricia E., author.",1636593178; 9781636593173; 1634593065; 9781634593069,9781636593173,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF5692 .J84 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348851801401,Principles of employment discrimination law /,"Chamallas, Martha, author.",,9781636592817; 1636592813; 9781634593021; 1634593022,9781636592817,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF3464 .C43 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348851901401,Sales and leases of goods in a nutshell /,"Lawton, Anne, author.","Miller, Frederick H., 1937- author.",1685611133; 9781685611132; 9780314232144; 0314232141,9781685611132,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF915.Z9 S7 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348852001401,Patent law in a nutshell /,"Rader, Randall R., author.","Christoff, Benjamin J., author.",1647088402; 9781647088408; 168328531X; 9781683285311,9781647088408,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF3114.85 .R33 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348852101401,Federal appellate practice and procedure in a nutshell /,"Castanias, Gregory A. author","Klonoff, Robert H. author",9781636592701; 1636592708; 0314289313; 9780314289315,9781636592701,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF9050 .C376 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348852201401,Immigration law and procedure in a nutshell /,"Weissbrodt, David S. author","Brenes, Sarah, author.; Peterson, Sarah K. (Lawyer), author.; Myers, Howard S., III, author.; Danielson, Laura. author",168467610X; 9781684676101; 168328898X; 9781683288985,9781684676101,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF4819.85 .W45 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348852301401,A brief American legal history in a nutshell /,"Blumm, Michael C., author.",,1685617026; 9781685617028,9781685617028,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF352 .B58 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348852401401,The USMCA : NAFTA re-negotiated and its business impacts in a nutshell /,"Folsom, Ralph Haughwout, author.","Folsom, W. Davis, author.",9798887863269; 9788887863260; 8887863261; 1640201327; 9781640201323,9788887863260,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KDZ944 .F653 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348852501401,International business negotiations in a nutshell /,"Folsom, Ralph Haughwout, author.","Lazerow, Herbert I., author.",9798887863955,9798887863955,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,K1322 .F65 2023,Yes,07/12/2023,CLOSED,Closed
07/12/2023,9952348852801401,Wiretapping : a legal research guide /,"Fishman, Joel, author.","Fishman, Steven B., author.",0837742846; 9780837742847,9780837742847,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF240.L43 v.96,Yes,07/12/2023,CLOSED,Closed
07/13/2023,9952348752101401,"The woman who turned into a jaguar, and other narratives of native women in archives of colonial Mexico /","Sousa, Lisa, 1962- author.",,1503601110; 9781503601116; 9780804756402; 0804756406,9781503601116,History,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/13/2023,9952348752201401,"The Mexican mission : indigenous reconstruction and mendicant enterprise in New Spain, 1521-1600 /","Crewe, Ryan Dominic, 1977- author.",,1108600573; 9781108600576; 1108602312; 9781108602310; 9781108492546; 1108492541; 9781108462921; 1108462928; 9781108477116; 1108477119,9781108600576,History,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/14/2023,9952348850501401,"Beyond Bollywood : 2000 years of dance in the arts of South Asia, Southeast Asia, and the Himalayan region /",,"Cincinnati Art Museum, host institution.; Asian Art Museum of San Francisco, host institution, issuing body.; Stein, Nathaniel M., contributor.; Reichle, Natasha, 1965- contributor.; Gaba, Trudy L., contributor.; Durham, Jeffrey, 1966- contributor.; Adamjee, Qamar, contributor.; Weinstein, Laura (Art museum curator), contributor.; Kaimal, Padma Audrey, contributor.; De, Esha Niyogi, contributor.; McGill, Forrest, 1947- curator, editor.; Cameron, Ainsley M. 1979- curator. (Ainsley MacDougall),",0939117924; 9780939117925,9780939117925,Dance,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,704.94979 B5735 2022,Yes,00/00/0,ACTIVE,Waiting for Invoice
07/24/2023,9952350252401401,State medical boards and the politics of public protection /,"Ameringer, Carl F.",,9780801859878; 0801859875,9780801859878,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,RA399.A3 A47 1999,Yes,07/26/2023,CLOSED,Closed
07/24/2023,9952350552301401,Engineering mathematics for marine applications /,"Korde, Umesh A., author.","Ertekin, Rifat Cengiz, author.",1108363237; 9781108363235; 9781108421041; 1108421040,9781108363235,Civil/Environmental Engineering,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-ce,nu-ce-Civil/Environmental Engineering,,,,,,Yes,00/00/0,CLOSED,Closed
07/26/2023,9952350152301401,Loot /,"Orton, Joe, author.",,0413567605; 9780413567604; 1408168154; 9781408168158; 9781472537997; 1472537998; 0413451801; 9780413451804,9780413567604,English/American Literature,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nch,NCH,,,,,,Yes,00/00/0,CLOSED,Closed
07/26/2023,9952350152401401,"Superintelligence : paths, dangers, strategies /","Bostrom, Nick, 1973-",,9780198739838; 0198739834,9780198739838,Philosophy,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nch,NCH,,,,,,Yes,00/00/0,CLOSED,Closed
07/26/2023,9952350152501401,Conceptual & historical issues in psychology /,"Piekkola, Brad, author.",,1473987199; 9781473987197; 9781473916159; 1473916151; 147391616X; 9781473916166,9781473987197,Psychology,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nch,NCH,,,,,,Yes,00/00/0,CLOSED,Closed
07/26/2023,9952350551601401,"The art of cinematic storytelling : a visual guide to planning shots, cuts and transitions /","Brine, Kelly Gordon, author.",,0190054344; 9780190054342; 0190054352; 9780190054359; 0190054360; 9780190054366; 0190054336; 9780190054335; 9780190054328; 0190054328,9780190054342,Journalism,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/31/2023,9952349951901401,The sacred earth : Jewish perspectives on our planet /,,"Gore, Karenna, writer of foreword.; Kahn, Andrue J., editor.",0881233854; 9780881233858; 9780881233865; 0881233862,9780881233858,Jewish Studies,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Firm Orders,nu-js,nu-js-Jewish Studies,Snell Campus,Snell Library,slstk,Stacks,BM538.C58 S23 2023,Yes,08/09/2023,CLOSED,Closed
07/31/2023,9952349952001401,"The great dechurching : who's leaving, why are they going, and what will it take to bring them back? /","Davis, Jim (Pastor), author.","Burge, Ryan P., author.; Graham, Michael S., author.; Hansen, Collin, foreword.",0310147433; 9780310147435; 9780310145875; 0310145872,9780310147435,Religion,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Firm Orders,nu-pl,nu-pl-Philosophy and Religion,Snell Campus,Snell Library,slstk,Stacks,BV4523 .D38 2023,Yes,08/24/2023,CLOSED,Closed
07/31/2023,9952350450801401,"Globalization in a glass : the rise of Pilsner beer through technology, taste and empire /","Purinton, Malcolm F., author.",,135032437X; 9781350324374; 9781350324381; 1350324388,9781350324374,Film Studies,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Firm Orders,nu-fs,nu-fs-Media and Screen Studies,Snell Campus,Snell Library,slfacpub,Faculty Publications,HD9397.A2 P87 2023,Yes,08/14/2023,CLOSED,Closed
07/31/2023,9952350450901401,"The art of Ruth E. Carter : costuming Black history and the Afrofuture, from Do the right thing to Black Panther /","Carter, Ruthe, author.","Gurira, Danai, author of foreword.",1797203061; 9781797203065; 9781797203591; 1797203592,9781797203065,Film Studies,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Firm Orders,nu-fs,nu-fs-Media and Screen Studies,Snell Campus,Snell Library,slsov,Oversize,TT505.C3757 A3 2023,Yes,08/14/2023,CLOSED,Closed
07/31/2023,9952350451001401,"Hidden in plain sight : WWII, Mussolini, and the plight of internment camps in Southern Italy /","Vittoria, Carmine, author.","Mussolini, Benito, 1883-1945.",1960299050; 9781960299055,9781960299055,Film Studies,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Firm Orders,nu-fs,nu-fs-Media and Screen Studies,Snell Campus,Snell Library,slfacpub,Faculty Publications,DS135.I8 V588 2023,Yes,08/16/2023,CLOSED,Closed
07/31/2023,9952350451301401,The temple of man : Apet of the South at Luxor /,"Schwaller de Lubicz, R. A.",,9780892815708; 0892815701,9780892815708,Film Studies,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Firm Orders,nu-fs,nu-fs-Media and Screen Studies,Snell Campus,Snell Library,slsov,Oversize,BF1434.E3 S3613 1998,Yes,08/08/2023,CLOSED,Closed
07/31/2023,9952351952801401,"Other worlds, other bodies : embodied epistemologies and ethnographies of healing /",,"Espirito Santo, Diana, editor.; Groisman, Alberto, 1958- editor.; Pierini, Emily, editor.",9781800738478; 1800738471; 9781800738461; 1800738463,9781800738478,Religion,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Title - One Time,API,Allocated fund,Firm Orders,nu-pl,nu-pl-Philosophy and Religion,,,,,,Yes,00/00/0,CLOSED,Closed
08/01/2023,9952349951501401,Teaching health humanities /,,"Cole, Thomas R., 1949- editor.; Carlin, Nathan, editor.; Banner, Olivia, editor.",0190636904; 9780190636906; 0190636920; 9780190636920; 0190636912; 9780190636913; 9780190636890; 0190636890,9780190636906,Education,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-md,nu-md-Medicine (Bouve other),,,,,,Yes,00/00/0,CLOSED,Closed
08/01/2023,9952349951601401,Social determinants of health and health disparities /,"Braveman, Paula, author.",,0190624140; 9780190624149; 0190624124; 9780190624125; 0190624132; 9780190624132; 9780190624118; 0190624116,9780190624149,Public Health,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-nr,nu-nr-Nursing,,,,,,Yes,00/00/0,CLOSED,Closed
08/02/2023,9952349950701401,"The world behind the world : consciousness, free will, and the limits of science /","Hoel, Erik, author.",,1982159405; 9781982159405; 9781982159399; 1982159391; 9781982159382; 1982159383,9781982159405,Psychology,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-meb,nu-meb - Mills E-Books,,,,,,Yes,00/00/0,CLOSED,Closed
08/02/2023,9952349950901401,Picasso's Demoiselles : the untold origins of a modern masterpiece /,"Blier, Suzanne Preston, author.",,1478000058; 9781478000051; 9781478002048; 1478002042; 9781478000198; 1478000198,9781478000051,Art,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-meb,nu-meb - Mills E-Books,,,,,,Yes,00/00/0,CLOSED,Closed
08/02/2023,9952349951001401,"Cannibal culture : art, appropriation, and the commodification of difference /","Root, Deborah, author.",,0429501897; 9780429501890; 042998152X; 9780429981524; 9780813320892; 0813320895; 9780813320885; 0813320887,9780429501890,Art,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-meb,nu-meb - Mills E-Books,,,,,,Yes,00/00/0,CLOSED,Closed
08/02/2023,9952350250201401,The Routledge companion to design research /,,"Yee, Joyce, editor.; Rodgers, Paul, 1965- editor.",1000897419; 9781000897418; 1003182445; 9781003182443; 100089746X; 9781000897463; 9781032022277; 1032022272,9781000897418,Art,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
08/02/2023,9952350250301401,In a bad state : responding to state and local budget crises /,"Schleicher, David, author.",,0197629180; 9780197629185; 0197629164; 9780197629161; 9780197629178; 0197629172; 9780197629154; 0197629156,9780197629185,Political Science,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-po,nu-po-Political Science,,,,,,Yes,00/00/0,CLOSED,Closed
08/02/2023,9952350550101401,Information technology and organizational learning : managing behavioral change through technology and education /,"Langer, Arthur M., author.","Langer, Arthur M.",1315143801; 9781315143804; 1498775764; 9781498775762; 9781138238589; 1138238589; 9781498775755; 1498775756,9781315143804,Computer Science,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
08/02/2023,9952350550301401,Nurse practitioners and nurse anesthetists : the evolution of the global roles /,,"Rowles, Jackie S., editor.; Thomas, Sophia L., editor.",9783031207617; 3031207610; 9783031207624; 3031207629,9783031207617,Nursing/Nutrition,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-nr,nu-nr-Nursing,Snell Campus,Snell Library,slfacpub,Faculty Publications,RD82 .N87 2023,Yes,09/05/2023,CLOSED,Closed
08/02/2023,9952352044401401,The World Bank's lawyers : the life of international law as institutional practice /,"Van den Meerssche, Dimitri, author.",,9780192846495; 0192846493,9780192846495,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HG3881.5.W57 V36 2022,Yes,09/20/2023,CLOSED,Closed
08/02/2023,9952352044501401,The timing of guilty pleas : lessons from common law jurisdictions /,"Cheng, Kevin Kwok-yin, 1985- author.",,1009158600; 9781009158602; 9781009182744; 1009182749,9781009158602,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K5458 .C44 2023,Yes,09/06/2023,CLOSED,Closed
08/02/2023,9952352044601401,Studies in Indian public finance /,"Govinda Rao, M., author.",,9780192849601; 0192849603,9780192849601,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HJ1335 .G68 2022,Yes,09/20/2023,CLOSED,Closed
08/02/2023,9952352044701401,Shari'ah and common law : the challenge of harmonisation /,,"Trackic, Adnan, editor.",9783110766684; 311076668X; 9783110766714; 311076671X,9783110766684,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KBP480 .S53 2022,Yes,08/16/2023,CLOSED,Closed
08/02/2023,9952352044801401,Public expenditure in India : policies and development outcomes /,"Gayithri, K., author.",,0192857568; 9780192857569,9780192857569,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HJ7890 .G39 2022,Yes,08/28/2023,CLOSED,Closed
08/02/2023,9952352044901401,The lawyer's conscience : a history of American lawyer ethics /,"Ariens, Michael S., 1957- author.",,0700634096; 9780700634095; 0700633839; 9780700633838; 9780700633869; 0700633863,9780700634095,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KF306 .A79 2023,Yes,08/16/2023,CLOSED,Closed
08/02/2023,9952352045001401,Justice in health /,"Burnett, Camille, author.",,303118503X; 9783031185038,9783031185038,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,RA418 .B87 2022,Yes,09/20/2023,CLOSED,Closed
08/02/2023,9952352045101401,Internet of things and the law : legal strategies for consumer-centric smart technologies /,"Noto La Diega, Guido, author.",,1138604798; 9781138604797; 1032305797; 9781032305790; 9780429887499; 0429887493; 9780429887505; 0429887507; 9780429887482; 0429887485; 9780429468377; 0429468377,9781138604797,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K564.C6 N68 2023,Yes,08/28/2023,CLOSED,Closed
08/02/2023,9952352045201401,Global poverty : rethinking causality /,,"Mishra, Deepak K., editor.; Das, Raju J., editor.",9004514597; 9789004514591; 9789004514607; 9004514600,9789004514591,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HC79.P6 G6626 2023,Yes,09/20/2023,CLOSED,Closed
08/02/2023,9952352045301401,Freedom's dominion : a saga of white resistance to federal power /,"Cowie, Jefferson, author.",,1541672801; 9781541672802; 9781541672819; 154167281X,9781541672802,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,E184.A1 C675 2022,Yes,08/16/2023,CLOSED,Closed
08/02/2023,9952352045401401,Discrimination and employment law : international legal perspectives /,,"Tyc, Aneta, editor.; Góral, Zbigniew, editor.; Carby-Hall, Jo, 1933- editor.",103230846X; 9781032308463; 1032308478; 9781032308470; 9781000797787; 1000797783; 9781000797770; 1000797775; 9781003306962; 1003306969,9781032308463,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K1770 .D57 2023,Yes,09/20/2023,CLOSED,Closed
08/02/2023,9952352045501401,"Digital death, digital assets and post-mortem privacy /","Harbinja, Edina, author.",,9781474485364; 1474485367; 9781474485388; 1474485383; 9781474485395; 1474485391,9781474485364,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K3264.C65 H37 2023,Yes,09/06/2023,CLOSED,Closed
08/02/2023,9952352045601401,Core EU legislation 2022-23 /,"Drury, Paul, author.",,9781509960415; 1509960414; 9781509960439; 1509960430; 9781509960422; 1509960422,9781509960415,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KJE947 .D78 2022,Yes,10/13/2023,CLOSED,Closed
08/02/2023,9952352045701401,Children's rights and food marketing : state duties in obesity prevention /,"Ó Cathaoir, Katharina, author.",,1839702257; 9781839702259,9781839702259,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KJC6750 .O33 2022,Yes,09/05/2023,CLOSED,Closed
